id,source_recipe_code,food_code_org,food_name,amount,unit
0166d8cd-102e-4eef-8b3a-eff57411431d,ASC082,UK-12-332,"Cream, fresh, single",1,tbsp
016b35fe-2f62-4d60-91a7-1d9f036711f4,ASC164,G033,Turmeric powder (Curcuma domestica),0.25,tsp
016bf4f4-3258-4178-8c37-5f77061ebfeb,BFP222,G024,Coriander seeds (Coriandrum sativum),0.25,tsp
016f60eb-66d5-4ceb-8724-c63b2d934294,BFP511,UK-14-335,"Cherries, glace",3,g
0173940d-fe67-48fc-ba09-b6eaec9155d5,BFP548,A014,"Rice, parboiled, milled (Oryza sativa )",25,g
0176f64f-d699-4335-b5d1-3ceb40eff520,ASC210,UK-11-1045,"Flour, corn",15,g
017969ca-541e-489f-9511-e3e824cbdb2d,BFP221,UK-17-339,Vinegar,0.5,tbsp
017fb934-df87-4fb5-b8b9-a09cd23986b9,ASC285,E057,"Raisins, dried, black (Vitis vinifera)",1.32,g
01802db1-5a4a-43d6-b49a-6fd744c0d6e9,BFP506,UK-17-062,"Sugar, icing",0.25,tsp
01811e20-d493-421f-82b2-d65accdc5e14,OSR154,G017,"Onion, big (Allium cepa)",60,g
01832dc6-6198-405c-9543-974c26844c4d,OSR053,UK-17-367,Salt,0.5,tsp
01873bdb-1760-44d2-b265-63648e38fff7,ASC358,UK-17-367,Salt,0.25,tsp
01894c34-e28f-4cae-b207-23509da0ee0b,BFP201,UK-17-377,"Water, distilled",4,tsp
0195139d-73f0-40d9-83ce-b52cd61d9c6b,OSR072,UK-17-367,Salt,0.25,tsp
01aaca50-0d40-44cd-80ac-73aba2221bd1,BFP599,UK-13-873,Chilli powder,20,g
01ab6900-a349-485f-b03f-a40437490e70,OSR099,UK-17-367,Salt,0.5,tsp
01abd8f3-e0a5-4170-b758-f367e7e76da5,BFP396,H006,"Coconut, kernal, dry (Cocos nucifera)",25,g
01aef037-1111-430d-a8d8-f59984ac1380,OSR114,UK-17-377,"Water, distilled",0.5,C
01b5de6d-2c40-41e6-9ddc-9af929f4bdc2,BFP170,UK-17-377,"Water, distilled",1.25,C
01be0f74-17ce-4572-88da-df89e5dd099b,BFP223,G033,Turmeric powder (Curcuma domestica),0.25,tsp
01c9eb99-d9e7-4476-afea-f1e1a49d17e6,OSR133,G031,"Pepper, black (Piper nigrum)",0.25,tsp
